ID,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality,_wkshell
YIL154C,0.001782985226693836,0.0002987151312531301,2.1362787562916588e-05,0.23791835707578146,0.00034630947051157577,0.00022343242683209847,0.00045131842593427426,64
YPR115W,0.004584819154355578,0.001229058050910987,4.7688702153854274e-05,0.2650634045273807,0.0011831160579929426,0.0003745660278093977,0.0005675763169513848,273
YGR280C,0.0038206826286296485,0.00034151287814556476,0.00016808451111062522,0.2405264754846512,0.00034774338758193423,0.0002832644399226162,0.0005470678104590369,209
YBL086C,0.0020376974019358125,0.0010758166057738805,1.6475748738541812e-06,0.21761919210516062,0.001116316856795728,0.00030851173931558285,0.00043925597315622856,54
YIL002C,0.0028018339276617422,0.0011001872107734502,0.00015787430834398577,0.2364191865838106,0.0010888091309464725,0.0003013622916585568,0.0005044039994738743,94
YJL084C,0.003056546102903719,0.0015992423993513877,9.28989573474678e-05,0.2645960854079742,0.0016223212801977872,0.0002656170906629307,0.0005311384784138897,176
YKR092C,0.006622516556291391,0.0031054899508844366,0.00017423839581235626,0.2631670401266097,0.003185541299677589,0.0005445892121228458,0.0005852557280074999,305
YKL193C,0.002292409577177789,0.000754206504452155,2.2249677869511947e-05,0.2333896797141748,0.0007947163266707143,0.0003024141694409994,0.0004691189523612449,73
YMR269W,0.0028018339276617422,0.00013183863862103922,0.00017769896511960414,0.23443967077512332,0.000126950615525832,0.00019278137432543588,0.0005206097943429873,183
YDR389W,0.003056546102903719,0.0015395738706324743,5.5626462486070985e-05,0.2649510974567526,0.0015682596803831689,0.0003093633665242323,0.0005268488881245817,118
YDR348C,0.00738665308201732,0.0033206545588188715,3.2415676605292885e-05,0.2640746404198391,0.003497208092913989,0.0007720217972897243,0.0005844759434521946,272
YLR425W,0.0010188487009679063,2.6719708140947173e-05,6.590640189702924e-07,0.21303500403617273,3.144829245760977e-05,0.00015538459952968195,0.0003606876689939077,24
YGR068C,0.0025471217524197657,0.00019197536476240736,7.074955412726366e-06,0.23606219271958437,0.0002061273240867876,0.00026433710022100013,0.000501570227539472,87
YMR273C,0.0015282730514518594,0.0002593137947487615,2.6239947722075157e-06,0.23124637849522797,0.000286270558237876,0.00018272231694898116,0.0004404861060596073,52
YMR070W,0.002292409577177789,0.0006112734524262926,1.405416269868491e-05,0.25009815298527355,0.0006261559718304338,0.0002577024746556974,0.0004908082467276692,90
YDR475C,0.0010188487009679063,1.0974493241693337e-05,2.0035731968302343e-05,0.2287788104320167,1.526695271527186e-05,0.00013819770360383443,0.0003775751449475515,46
YDR040C,0.0010188487009679063,0.00031627242669906333,4.2946289500700425e-06,0.22114655729606708,0.00037264771569911123,0.00014930606217506282,0.0003632267612443156,36
YGR024C,0.00025471217524197657,0.0,1.002480851746628e-06,0.20099493711282337,0.0,6.720282984208219e-05,0.00016411542872391064,4
YGL229C,0.011462047885888945,0.014783689982844562,0.000737071927674284,0.2901084428272693,0.015366316081312354,0.0013605876890460684,0.0006036842305302706,471
YDR452W,0.0012735608762098828,0.0007639987261091794,5.595821360849789e-05,0.251203300152991,0.0008042138047971295,0.00017732107203816263,0.0004025338984601549,59
YNR002C,0.006113092205807438,0.007519613105359957,0.00022295433624753118,0.2717835922553476,0.0077150852250706965,0.0008231632564710599,0.0005647818724264132,227
YLR454W,0.0010188487009679063,9.344373701930341e-05,2.1819427223499927e-07,0.20328181671371698,0.00010314587417647927,0.00015583180424841737,0.00036015378436094527,27
YNR008W,0.0007641365257259297,4.7548207306952e-05,2.1749549326239985e-06,0.1977636775819668,5.4431130310468804e-05,0.00012480944552488557,0.00031885774265203424,18
YPR117W,0.00025471217524197657,0.0,2.2518304150657106e-08,0.17800419826762853,0.0,7.105500054657921e-05,0.00016357036428601073,5
YBL087C,0.0007641365257259297,5.574588003134399e-05,0.00012105181960703715,0.22239182568224017,6.517047434101834e-05,0.00010709601647620463,0.00030034091729548606,31
YKL021C,0.011716760061130923,0.0018702071604189932,0.008618970840345585,0.2759411996091104,0.0017383507157535398,0.0004402214575896043,0.0006155894347638042,631
YDR361C,0.0015282730514518594,0.0007811708271591643,0.0002517297396721525,0.2559850236122722,0.0008574058067897562,0.00018003818745018047,0.00040374667054739595,91
YPL208W,0.0007641365257259297,8.055878403501095e-07,5.924180383312153e-06,0.20532876326192054,2.3743664299332535e-06,0.00012428330166123792,0.0002724872230408373,12
