name,_wkshell,_wks_percentile_bucket
AT5G48820,125.0,60.0
AT5G18100,217.0,70.0
AT1G06110,17.0,25.0
AT5G19140,217.0,70.0
AT1G06290,217.0,75.0
AT5G20020,217.0,80.0
AT1G06400,217.0,75.0
AT5G20250,217.0,70.0
AT1G06530,1.0,0.0
AT5G20990,217.0,80.0
AT3G58840,1.0,0.0
AT5G24930,217.0,70.0
AT1G06680,6.0,10.0
AT5G29000,217.0,70.0
AT1G21250,8.0,15.0
AT5G38220,217.0,70.0
AT1G67700,62.0,45.0
AT5G38530,217.0,70.0
AT1G06700,217.0,90.0
AT5G38660,217.0,80.0
AT1G06790,101.0,55.0
AT5G40420,217.0,70.0
AT5G62950,3.0,5.0
AT5G41210,217.0,70.0
AT1G06840,128.0,60.0
AT5G41790,217.0,70.0
AT2G16640,8.0,15.0
AT5G42220,217.0,70.0
AT4G23430,8.0,15.0
AT5G43810,217.0,70.0
AT5G16620,30.0,30.0
AT5G44070,217.0,70.0
AT1G07000,2.0,5.0
AT5G44340,217.0,85.0
AT3G52450,57.0,40.0
AT5G45750,217.0,70.0
AT1G07130,31.0,30.0
AT5G46110,217.0,70.0
AT1G07140,9.0,15.0
AT5G48930,217.0,70.0
AT3G25230,128.0,65.0
AT5G52960,217.0,70.0
AT5G20010,217.0,85.0
AT5G54640,217.0,70.0
AT5G48570,5.0,10.0
AT5G55630,217.0,70.0
AT1G07310,61.0,45.0
AT5G58040,217.0,70.0
AT1G07360,34.0,30.0
AT5G58270,217.0,70.0
AT1G09770,135.0,65.0
AT5G58490,217.0,70.0
AT1G20960,256.0,90.0
AT5G59880,217.0,70.0
AT1G07370,217.0,90.0
AT5G62690,217.0,85.0
AT1G09210,180.0,70.0
AT5G62700,217.0,70.0
AT1G10430,217.0,90.0
AT5G65720,217.0,70.0
AT1G17720,217.0,90.0
AT5G03290,10.0,15.0
AT1G56340,188.0,70.0
AT5G64930,3.0,5.0
AT1G59830,217.0,90.0
AT5G04560,84.0,50.0
AT1G69960,217.0,90.0
AT5G51820,29.0,30.0
AT1G73230,236.0,90.0
AT5G17410,2.0,0.0
AT2G29570,217.0,90.0
AT5G07400,50.0,35.0
AT2G42500,217.0,90.0
AT5G07570,40.0,35.0
AT3G06720,261.0,90.0
AT5G08190,61.0,45.0
AT3G54960,152.0,65.0
AT5G08560,31.0,30.0
AT4G34400,13.0,20.0
AT5G09400,84.0,50.0
AT5G60640,217.0,90.0
AT5G10200,61.0,45.0
AT5G63190,147.0,65.0
AT5G10550,4.0,5.0
AT1G07400,5.0,10.0
AT5G11010,17.0,20.0
AT1G07480,40.0,35.0
AT5G49830,7.0,10.0
AT1G07500,37.0,35.0
AT5G58030,9.0,15.0
AT3G48750,270.0,95.0
AT5G59730,7.0,10.0
AT1G07530,128.0,60.0
AT5G19320,5.0,10.0
AT1G07570,84.0,50.0
AT5G12860,40.0,35.0
AT1G07590,40.0,35.0
AT5G12920,4.0,5.0
AT1G07650,40.0,35.0
AT5G12980,31.0,30.0
AT1G07660,143.0,65.0
AT5G16440,40.0,35.0
AT1G09200,43.0,35.0
AT5G17290,84.0,50.0
AT1G13370,43.0,35.0
AT5G44030,2.0,0.0
AT4G40030,43.0,35.0
AT5G17600,63.0,45.0
AT4G40040,43.0,35.0
AT5G17690,25.0,25.0
AT5G09860,283.0,95.0
AT5G19780,17.0,20.0
AT5G10400,43.0,35.0
AT5G67610,2.0,0.0
AT5G10980,43.0,35.0
AT5G47910,2.0,0.0
AT5G65360,217.0,80.0
AT5G22360,17.0,20.0
AT2G20140,324.0,95.0
AT5G23730,6.0,10.0
