node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G10520,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10522,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10580,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10590,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10670,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10690,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10700,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10730,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10760,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10790,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10820,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10840,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10940,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10950,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10960,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11130,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11260,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11310,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11330,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11410,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11475,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11520,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11560,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11580,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11590,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11650,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
