gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G21750,60.93799644,0.993940746,0.027539368,47.19953575,0.998662318,0.017849856,46.815554,0.998562576,0.018825646
AT1G22270,54.37188399,0.989481243,0.041613534,55.44323987,0.994869258,0.030832578,,,
AT1G22300,46.10595083,0.997060457,0.025009519,50.68345907,0.997687259,0.023958562,50.38268174,0.996982849,0.028668913
AT1G22430,60.72192826,0.974825904,0.061364952,57.17440445,0.996018141,0.027974432,58.6482235,0.977960649,0.071917017
AT1G22450,62.54776058,0.995280601,0.022864674,58.69342679,0.977542838,0.056832886,60.32301853,0.976349358,0.065359774
AT1G22800,48.07053379,0.986939431,0.05080812,53.17193711,0.99580278,0.030025739,,,
AT1G22810,41.73112512,0.95822656,0.061229928,,,,,,
AT1G22840,,,,65.4145376,0.964002607,0.063386617,65.02036241,0.940015506,0.123894365
AT1G23190,39.19441517,0.996533132,0.023845509,52.24361383,0.993750968,0.036745022,52.61287838,0.997689719,0.023569954
AT1G23260,51.08806173,0.995107358,0.026710842,,,,,,
AT1G23730,51.61885814,0.984767401,0.052836369,,,,,,
AT1G23900,40.38930462,0.986465027,0.048790357,48.02499795,0.97995643,0.070056755,,,
AT1G24020,44.40682307,0.999528284,0.009372081,42.31416335,0.996594103,0.026260441,42.14498674,0.999246333,0.013109081
AT1G24040,42.67778366,0.998577668,0.015681462,47.11891183,0.998791821,0.016736656,45.82833872,0.984062501,0.061100861
AT1G24310,59.01822569,0.993332567,0.027689743,56.70174166,0.999408783,0.010006292,,,
AT1G24360,41.2745292,0.995827653,0.027233311,57.5635928,0.976681876,0.078847546,57.81214805,0.982243354,0.067964203
AT1G24510,39.4517326,0.99831842,0.016531013,50.63137791,0.998128729,0.02174113,50.08417555,0.996804055,0.029525664
AT1G24610,39.84841828,0.997611749,0.019785597,51.40183684,0.991408284,0.042449271,50.43329836,0.995439887,0.033877683
AT1G25380,,,,55.1210606,0.997276087,0.022706182,,,
AT1G25490,39.30336457,0.999044735,0.012677784,47.2795519,0.997611143,0.023395214,46.80077741,0.99869183,0.01831887
AT1G25540,57.65599323,0.893370707,0.153062031,,,,,,
AT1G25570,51.05804294,0.991994206,0.043851186,52.48370105,0.988260982,0.050972565,,,
AT1G26110,63.72882111,0.955194772,0.065290623,52.44114175,0.99277067,0.035766663,49.40435342,0.964271411,0.093126435
AT1G26220,,,,55.00009674,0.988909194,0.043114965,,,
AT1G26340,60.76391554,0.978331289,0.055104258,61.25921405,0.986366984,0.043238713,62.68704419,0.957732055,0.085337952
