gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G65930,52.95302304,0.993189652,0.040146945,54.60369785,0.999031053,0.015737171,54.65527551,0.998930906,0.016537416
AT1G65980,55.55014464,0.990349333,0.042616816,49.83691948,0.996455807,0.028281858,49.6878401,0.995764432,0.031759728
AT1G66260,62.85827518,0.988749522,0.03108905,50.17518947,0.973646236,0.066151728,50.92132195,0.981672277,0.06032367
AT1G66670,40.92561888,0.997465037,0.019771739,53.86914381,0.993653808,0.038908069,53.01636763,0.993245995,0.041914392
AT1G67090,56.71792122,0.982123257,0.063917049,58.50954798,0.987980956,0.053045054,58.87687466,0.985776651,0.059194256
AT1G67700,43.66724761,0.993792276,0.035572017,45.99982784,0.992760775,0.04383488,45.72371998,0.995512924,0.034842314
AT1G67730,34.40481799,0.996682812,0.020973327,54.73425691,0.994847811,0.032658061,54.45562989,0.993536288,0.036611523
AT1G67930,40.50634842,0.989923688,0.035797346,46.35255483,0.99190398,0.040418532,,,
AT1G68590,47.78574097,0.998294505,0.01737798,51.09569095,0.99659559,0.029602557,50.92866934,0.997298516,0.026138865
AT1G69830,39.34717675,0.999395262,0.009704988,42.26544541,0.996015644,0.029522365,41.89868593,0.996377434,0.028602704
AT1G69840,42.02860437,0.994524486,0.033100436,53.78446582,0.988300791,0.046844003,,,
AT1G69960,57.31440912,0.904009697,0.102076275,52.06133156,0.991871672,0.041573147,52.76562647,0.988729875,0.04958634
