experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2278,Q94BZ0,Q94BZ0,Q94BZ0,Q94BZ0,True,,unmapped_to_nodes,,False,54.89531926,0.995754456,0.028198777
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2279,Q94C12,Q94C12,Q94C12,Q94C12,True,,unmapped_to_nodes,,False,55.03788487,0.979539953,0.061030693
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2280,Q94C48,Q94C48,Q94C48,Q94C48,True,,unmapped_to_nodes,,False,59.84583509,0.940965684,0.088631593
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2281,Q94C57,Q94C57,Q94C57,Q94C57,True,,unmapped_to_nodes,,False,46.44106935,0.997386804,0.025330954
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2283,Q94C69,Q94C69,Q94C69,Q94C69,True,,unmapped_to_nodes,,False,49.80846356,0.979300564,0.053560451
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2285,Q94CC6,Q94CC6,Q94CC6,Q94CC6,True,,unmapped_to_nodes,,False,60.66904271,0.985990852,0.047293107
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2286,Q94CD8,Q94CD8,Q94CD8,Q94CD8,True,,unmapped_to_nodes,,False,53.03042998,0.935289616,0.095199541
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2293,Q94EG6,Q94EG6,Q94EG6,Q94EG6,True,,unmapped_to_nodes,,False,54.24296148,0.994470197,0.03676427
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2294,Q94EH2,Q94EH2,Q94EH2,Q94EH2,True,,unmapped_to_nodes,,False,63.01534919,0.933307105,0.094130839
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2297,Q94F09,Q94F09,Q94F09,Q94F09,True,,unmapped_to_nodes,,False,48.22688938,0.99879076,0.016708611
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2298,Q94F10,Q94F10,Q94F10,Q94F10,True,,unmapped_to_nodes,,False,55.76099438,0.99540034,0.030313658
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2300,Q94F50,Q94F50,Q94F50,Q94F50,True,,unmapped_to_nodes,,False,52.16009685,0.999285146,0.01332584
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2301,Q94FY7,Q94FY7,Q94FY7,Q94FY7,True,,unmapped_to_nodes,,False,55.29003264,0.993822195,0.034108898
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2302,Q94II3,Q94II3,Q94II3,Q94II3,True,,unmapped_to_nodes,,False,46.22544073,0.993481428,0.036919066
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2303,Q94II5,Q94II5,Q94II5,Q94II5,True,,unmapped_to_nodes,,False,56.69940859,0.990898795,0.043892096
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2304,Q94JM2,Q94JM2,Q94JM2,Q94JM2,True,,unmapped_to_nodes,,False,53.63882971,0.994553544,0.033757799
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2306,Q94JQ4,Q94JQ4,Q94JQ4,Q94JQ4,True,,unmapped_to_nodes,,False,62.58170142,0.90383629,0.100854082
