node,abundance_file_1,n_uniprot_abundance_values_file_1,matched_uniprot_accessions_file_1,abundance_file_2,n_uniprot_abundance_values_file_2,matched_uniprot_accessions_file_2,abundance_file_3,n_uniprot_abundance_values_file_3,matched_uniprot_accessions_file_3,abundance_file_4,n_uniprot_abundance_values_file_4,matched_uniprot_accessions_file_4,abundance_file_5,n_uniprot_abundance_values_file_5,matched_uniprot_accessions_file_5,abundance_file_6,n_uniprot_abundance_values_file_6,matched_uniprot_accessions_file_6,abundance_file_7,n_uniprot_abundance_values_file_7,matched_uniprot_accessions_file_7,n_abundance_files_with_values,harmonized_abundance
AT5G53530,32.6,1,Q9FJD0,46.3,1.0,Q9FJD0,10.3,1.0,Q9FJD0,55.6,1.0,Q9FJD0,23.0,1.0,Q9FJD0,,,,,,,5,32.6
AT5G53560,521.0,1,Q42342,635.0,1.0,Q42342,304.0,1.0,Q42342,824.0,1.0,Q42342,650.0,1.0,Q42342,,,,,,,5,635.0
AT5G53660,0.075,1,Q9FJB8,0.578,1.0,Q9FJB8,,,,,,,1.64,1.0,Q9FJB8,,,,,,,3,0.578
AT5G53820,39.6,1,Q9FHZ4,199.0,1.0,Q9FHZ4,10.3,1.0,Q9FHZ4,35.0,1.0,Q9FHZ4,,,,,,,,,,4,37.3
AT5G53850,86.3,1,Q9FN41,61.2,1.0,Q9FN41,57.2,1.0,Q9FN41,121.0,1.0,Q9FN41,83.5,1.0,Q9FN41,67.4,1.0,Q9FN41,46.5,1.0,Q9FN41,7,67.4
AT5G54050,0.014,1,F4JYT3,0.041,1.0,F4JYT3,,,,,,,1.16,1.0,F4JYT3,,,,,,,3,0.041
AT5G54100,16.6,1,Q9LVW0,5.57,1.0,Q9LVW0,26.7,1.0,Q9LVW0,17.8,1.0,Q9LVW0,112.0,1.0,Q9LVW0,,,,,,,5,17.8
AT5G54140,1.15,1,O81641,3.36,1.0,O81641,,,,1.76,1.0,O81641,1.25,1.0,O81641,,,,,,,4,1.505
AT5G54160,549.0,1,Q9FK25,286.0,1.0,Q9FK25,142.0,1.0,Q9FK25,1025.0,1.0,Q9FK25,335.0,1.0,Q9FK25,101.0,1.0,Q9FK25,149.0,1.0,Q9FK25,7,286.0
AT5G54190,96.2,1,Q42536,3.75,1.0,Q42536,239.0,1.0,Q42536,72.4,1.0,Q42536,,,,,,,,,,4,84.30000000000001
AT5G54260,2.61,1,Q9XGM2,8.24,1.0,Q9XGM2,0.216,1.0,Q9XGM2,3.62,1.0,Q9XGM2,8.15,1.0,Q9XGM2,,,,,,,5,3.62
AT5G54270,1018.0,1,Q9S7M0,285.0,1.0,Q9S7M0,961.0,1.0,Q9S7M0,710.0,1.0,Q9S7M0,849.0,1.0,Q9S7M0,3017.0,1.0,Q9S7M0,1750.0,1.0,Q9S7M0,7,961.0
AT5G54310,25.9,1,Q9FL69,40.8,1.0,Q9FL69,6.72,1.0,Q9FL69,43.9,1.0,Q9FL69,22.3,1.0,Q9FL69,,,,,,,5,25.9
