source,target
AT1G09030,AT5G50470
AT1G09030,AT5G50480
AT1G09030,AT5G50490
AT1G09030,AT5G63470
AT1G09060,AT4G15560
AT1G09070,AT1G18080
AT1G09070,AT1G64060
AT1G09080,AT3G08970
AT1G09100,AT1G45000
AT1G09100,AT4G29130
AT1G09100,AT5G23940
AT1G09140,AT1G53720
AT1G09140,AT1G60650
AT1G09140,AT2G24590
AT1G09140,AT3G13570
AT1G09140,AT3G50670
AT1G09140,AT3G55460
AT1G09140,AT3G61860
AT1G09140,AT5G04280
AT1G09140,AT5G52040
AT1G09180,AT1G47260
AT1G09180,AT5G02040
AT1G09200,AT2G32700
AT1G09210,AT3G57870
AT1G09270,AT5G16850
AT1G09270,AT5G17690
AT1G09330,AT4G11220
AT1G09340,AT1G10522
AT1G09530,AT1G09530
AT1G09530,AT1G09570
AT1G09530,AT1G14920
AT1G09530,AT1G21700
AT1G09530,AT1G66350
AT1G09530,AT1G80840
AT1G09530,AT2G01570
AT1G09530,AT2G18790
AT1G09530,AT2G20180
AT1G09530,AT2G34640
AT1G09530,AT2G43010
AT1G09530,AT3G03450
AT1G09530,AT3G17609
AT1G09530,AT3G18520
AT1G09530,AT3G59060
AT1G09530,AT4G10180
AT1G09530,AT4G18390
AT1G09530,AT4G31800
AT1G09530,AT4G37710
AT1G09530,AT5G11260
AT1G09530,AT5G17490
AT1G09530,AT5G61380
AT1G09530,AT5G65430
AT1G09570,AT1G09570
AT1G09570,AT1G52240
AT1G09570,AT2G02950
AT1G09570,AT2G20180
AT1G09570,AT2G32950
AT1G09570,AT2G34640
AT1G09570,AT2G37678
AT1G09570,AT2G37680
AT1G09570,AT2G42810
AT1G09570,AT2G43010
AT1G09570,AT2G46340
AT1G09570,AT2G46370
AT1G09570,AT3G33520
AT1G09570,AT3G59060
AT1G09570,AT4G08920
AT1G09570,AT5G02200
AT1G09570,AT5G37055
AT1G09570,AT5G63310
AT1G09590,AT1G18080
AT1G09590,AT5G45410
AT1G09630,AT4G17720
AT1G09700,AT1G09700
AT1G09700,AT1G48410
AT1G09700,AT1G50670
AT1G09700,AT2G21620
AT1G09700,AT2G27100
AT1G09700,AT3G18035
AT1G09700,AT3G45640
AT1G09700,AT4G15900
AT1G09700,AT4G21670
AT1G09760,AT2G30260
AT1G09760,AT3G57870
AT1G09770,AT1G30860
AT1G09770,AT1G59580
AT1G09770,AT2G43790
AT1G09770,AT3G45640
AT1G09770,AT4G01370
AT1G09770,AT4G15900
AT1G09840,AT2G31880
AT1G09840,AT4G26090
AT1G09840,AT5G37780
AT1G09960,AT1G22710
AT1G09960,AT2G24170
AT1G09960,AT5G04870
AT1G09960,AT5G53560
AT1G09970,AT1G14390
AT1G09970,AT1G53440
AT1G09970,AT1G67720
AT1G09970,AT1G73080
AT1G09970,AT2G26330
AT1G09970,AT2G31880
AT1G09970,AT3G17840
AT1G09970,AT4G39400
AT1G09970,AT5G07280
AT1G09970,AT5G10290
AT1G09970,AT5G20480
AT1G09970,AT5G41180
AT1G09970,AT5G46330
AT1G09970,AT5G48380
AT1G09970,AT5G49760
AT1G09970,AT5G65700
AT1G10070,AT3G11410
AT1G10180,AT3G60600
AT1G10200,AT2G25620
AT1G10200,AT4G15560
AT1G10290,AT1G10290
AT1G10290,AT1G23900
