AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT3G01420,0.442,1.3584862845489447,-5.244,-4.698,,,,,,,,,,,,,,,,,,,,
AT3G01500,,,,,,,,,,,,,,,,,,,,,0.35,1.2745606273192622,-6.648,-6.314
AT3G02090,0.18,1.1328838852957985,-5.335,-5.176,,,,,,,,,,,,,,,,,,,,
AT3G04120,0.261,1.1983090213394187,-5.612,-5.309,,,,,,,,,,,,,0.191,1.1415547071267738,-6.016,-5.79,,,,
AT3G04920,0.238,1.179356592261216,-5.08,-4.843,0.217,1.1623141075181171,-5.113,-4.896,,,,,0.499,1.4132336438827295,-5.861,-5.362,,,,,,,,
AT3G06650,,,,,,,,,,,,,,,,,,,,,0.597,1.5125679972839619,-6.243,-5.646
AT3G08580,0.176,1.1297472145701235,-5.526,-5.299,0.263,1.1999713823732154,-5.705,-5.432,,,,,0.133,1.0965715885878942,-5.973,-5.863,,,,,,,,
AT3G08590,,,,,,,,,0.263,1.1999713823732154,-4.913,-4.65,,,,,,,,,,,,
AT3G08940,,,,,,,,,,,,,0.428,1.3453672085218262,-6.056,-5.628,0.457,1.3726844312549107,-6.218,-5.76,,,,
AT3G09200,0.244,1.1842716118536327,-5.256,-5.012,0.334,1.2605033915829855,-5.397,-5.063,,,,,0.329,1.2561423811435273,-5.784,-5.455,,,,,,,,
AT3G09260,0.283,1.2167223586340676,-5.66,-5.394,0.255,1.193335743031722,-5.645,-5.371,0.129,1.0935354574846323,-5.672,-5.537,0.648,1.5669943738986813,-7.218,-6.48,0.707,1.6324060923018033,-7.2,-6.493,0.984,1.977941832761863,-7.684,-6.7
AT3G09440,0.659,1.57898777340111,-5.179,-4.425,,,,,,,,,,,,,,,,,,,,
AT3G09840,0.36,1.2834258975629043,-4.788,-4.428,,,,,,,,,,,,,,,,,,,,
AT3G11130,0.35,1.2745606273192622,-5.481,-5.132,0.335,1.2613774088312495,-5.506,-5.171,,,,,,,,,,,,,,,,
AT3G12260,0.457,1.3726844312549107,-5.284,-4.746,,,,,,,,,,,,,,,,,,,,
AT3G12780,,,,,,,,,,,,,,,,,0.272,1.2074805914864963,-6.244,-5.956,0.337,1.2631272618457992,-6.361,-6.025
AT3G13470,,,,,0.987,1.9820591265281582,-6.222,-5.235,,,,,,,,,,,,,,,,
AT3G13870,0.5,1.4142135623730951,-4.961,-4.462,,,,,,,,,,,,,,,,,,,,
AT3G13920,0.27,1.2058078276907604,-5.021,-4.752,,,,,,,,,,,,,,,,,,,,
AT3G14210,,,,,,,,,,,,,,,,,0.395,1.3149427602050707,-5.261,-4.796,,,,
AT3G14415,,,,,,,,,,,,,,,,,,,,,0.79,1.7290744626157304,-6.01,-5.22
AT3G14420,,,,,,,,,,,,,0.72,1.6471820345351462,-6.225,-5.505,,,,,0.747,1.6782992742130831,-5.951,-5.217
AT3G15730,,,,,,,,,,,,,,,,,,,,,0.279,1.213353560248693,-5.78,-5.378
AT3G15950,0.62,1.5368751812880124,-5.678,-5.058,,,,,0.295,1.226884977253804,-5.466,-5.157,,,,,,,,,,,,
AT3G16240,,,,,,,,,,,,,1.009,2.0125156469955634,-6.245,-5.236,,,,,,,,
AT3G16370,,,,,,,,,,,,,,,,,0.7,1.624504792712471,-5.384,-4.684,,,,
AT3G16420,0.298,1.2294388672545806,-5.17,-4.872,0.138,1.1003786093661372,-4.94,-4.819,0.204,1.1518876423493576,-5.096,-4.892,,,,,0.67,1.5910729675098374,-6.334,-5.631,0.766,1.7005483201283915,-6.455,-5.693
AT3G16450,,,,,0.329,1.2561423811435273,-4.859,-4.543,,,,,,,,,0.729,1.6574898089759842,-6.453,-5.724,,,,
AT3G16460,0.209,1.1558867065547986,-5.143,-4.906,0.193,1.143138335414036,-5.048,-4.86,,,,,,,,,0.696,1.6200069472640917,-6.709,-6.029,,,,
